Ti,Ti_prime,To,a
23.689,27.544,-4.4,6000
27.544,27.326,-6.5,10000
27.326,27.082,-8.8,10000
27.082,26.832,-11.1,10000
26.832,26.711,-11.6,10000
26.711,26.452,-12.1,10000
26.452,26.572,-12.8,10000
26.572,26.636,-12.6,10000
26.636,22.793,-12.6,10000
22.793,16.868,-12.8,6000
16.868,22.358,-12.6,0
22.358,22.164,-12.6,6000
22.164,22.088,-12.8,6000
22.088,16.141,-12.5,6000
16.141,25.444,-12.3,0
25.444,21.717,-12.1,10000
21.717,25.374,-12.3,6000
25.374,21.566,-12.5,10000
21.566,25.543,-12.8,6000
25.543,25.97,-11.3,10000
25.97,22.605,-10.1,10000
22.605,22.905,-8.8,6000
22.905,23.276,-7.9,6000
23.276,23.639,-6.9,6000
23.639,27.599,-6,6000
27.599,27.763,-6.4,10000
27.763,27.687,-6.6,10000
27.687,27.839,-7.1,10000
27.839,27.942,-6.9,10000
27.942,28.035,-6.8,10000
28.035,28.307,-6.6,10000
28.307,28.461,-6.1,10000
28.461,24.85,-5.9,10000
24.85,18.851,-5.5,6000
18.851,24.495,-5.9,0
24.495,24.442,-6.1,6000
24.442,24.453,-6.6,6000
24.453,18.491,-6.8,6000
18.491,28.117,-6.9,0
28.117,24.795,-7.1,10000
24.795,29.032,-3.5,6000
29.032,25.758,-0.1,10000
25.758,29.746,3.2,6000
29.746,29.895,3.2,10000
29.895,26.179,3.2,10000
26.179,26.387,3.2,6000
26.387,26.652,2.9,6000
26.652,26.823,2.5,6000
26.823,30.797,2.2,6000
30.797,30.966,2,10000
30.966,31.097,1.8,10000
31.097,31.142,1.7,10000
31.142,31.06,0.6,10000
31.06,30.925,-0.5,10000
30.925,30.931,-1.7,10000
30.931,30.903,-2,10000
30.903,26.901,-2.7,10000
26.901,21.071,-3.2,6000
21.071,26.95,-2.7,0
26.95,27.092,-2,6000
27.092,27.208,-1.7,6000
27.208,21.266,-1.6,6000
21.266,30.994,-1.6,0
30.994,27.318,-1.7,10000
27.318,31.232,-1.6,6000
31.232,27.446,-1.6,10000
