Ti,Ti_prime,To,a
16.417,26.137,-10.1,0
26.137,26.684,-8.8,10000
26.684,23.339,-7.9,10000
23.339,23.668,-6.9,6000
23.668,27.626,-6,6000
27.626,18.098,-6.4,10000
18.098,23.476,-6.6,0
23.476,23.543,-7.1,6000
23.543,27.373,-6.9,6000
27.373,17.81,-6.8,10000
17.81,27.381,-6.6,0
27.381,27.628,-6.1,10000
27.628,27.904,-5.9,10000
27.904,27.971,-5.5,10000
27.971,28.125,-5.9,10000
28.125,24.244,-6.1,6000
24.244,28.134,-6.6,6000
28.134,24.364,-6.8,10000
24.364,24.363,-6.9,6000
24.363,28.652,-7.1,6000
28.652,25.269,-3.5,10000
25.269,29.592,-0.1,6000
29.592,29.882,3.2,10000
29.882,20.229,3.2,10000
20.229,29.732,3.2,0
29.732,30.206,3.2,10000
30.206,26.723,2.9,10000
26.723,26.857,2.5,6000
26.857,30.83,2.2,6000
30.83,21.138,2,10000
21.138,26.788,1.8,0
26.788,26.755,1.7,6000
26.755,30.471,0.6,6000
30.471,20.549,-0.5,10000
20.549,29.98,-1.7,0
29.98,30.052,-2,10000
30.052,29.938,-2.7,10000
29.938,30.192,-3.2,10000
30.192,30.583,-2.7,10000
30.583,26.883,-2,6000
26.883,30.901,-1.7,6000
30.901,27.168,-1.6,10000
27.168,27.209,-1.6,6000
27.209,31.19,-1.7,6000
31.19,27.424,-1.6,10000
27.424,31.313,-1.6,6000
31.313,31.428,-1.7,10000
31.428,21.666,-0.1,10000
21.666,31.154,1.2,0
31.154,31.244,2.7,10000
31.244,27.514,2.4,10000
27.514,27.466,2,6000
27.466,31.468,1.7,6000
31.468,22.332,0.4,10000
22.332,28.265,-0.8,0
28.265,28.279,-2.2,6000
28.279,32.059,-2.7,6000
32.059,22.191,-3.2,10000
22.191,31.547,-3.9,0
31.547,31.568,-4,10000
31.568,31.431,-4,10000
31.431,31.583,-4.4,10000
31.583,31.664,-3.7,10000
31.664,27.949,-3.2,6000
27.949,31.799,-2.7,6000
31.799,28.113,-2.5,10000
28.113,27.949,-2.2,6000
27.949,31.92,-2.2,6000
31.92,28.239,-1.8,10000
28.239,32.047,-1.7,6000
32.047,32.082,-1.7,10000
32.082,22.371,-1.6,10000
22.371,31.486,-1.6,0
31.486,31.804,-1.7,10000
31.804,28.388,-1.3,10000
28.388,28.598,-1.2,6000
28.598,32.428,-1.1,6000
32.428,22.749,-2,10000
22.749,28.101,-3.2,0
28.101,28.117,-4.4,6000
28.117,32.061,-4,6000
32.061,22.452,-4,10000
22.452,31.787,-3.9,0
31.787,31.658,-4.5,10000
31.658,31.534,-5.3,10000
31.534,31.399,-6,10000
31.399,31.099,-6.9,10000
31.099,27.065,-7.9,6000
27.065,30.573,-8.8,6000
30.573,26.478,-9.6,10000
26.478,26.075,-10.6,6000
26.075,29.813,-11.6,6000
29.813,26.309,-11,10000
26.309,30.127,-10.5,6000
30.127,30.325,-10,10000
30.325,20.96,-10.1,10000
20.96,30.449,-10.3,0
30.449,30.665,-10.6,10000
30.665,26.939,-9.8,10000
26.939,26.962,-9.3,6000
26.962,30.674,-8.8,6000
30.674,20.994,-10.1,10000
20.994,26.021,-11.3,0
26.021,25.869,-12.8,6000
25.869,29.379,-13.3,6000
29.379,19.641,-14.1,10000
19.641,28.68,-15,0
28.68,28.658,-16,10000
28.658,28.564,-17.1,10000
28.564,28.505,-18.2,10000
28.505,28.477,-17.5,10000
28.477,24.622,-16.7,6000
24.622,28.424,-16.1,6000
28.424,24.747,-15.1,10000
24.747,24.618,-14.1,6000
24.618,28.334,-13.3,6000
28.334,24.668,-12.3,10000
24.668,28.313,-11.3,6000
28.313,28.645,-10.6,10000
28.645,19.558,-9.1,10000
19.558,29.096,-7.9,0
29.096,29.625,-6.6,10000
29.625,26.394,-4.9,10000
26.394,26.721,-3.2,6000
26.721,31.003,-1.7,6000
31.003,21.741,-0.3,10000
21.741,27.749,0.8,0
27.749,27.802,2.2,6000
27.802,31.698,2.2,6000
31.698,21.951,2.2,10000
21.951,30.262,2.2,0
30.262,28.628,-2.2,10000
28.628,26.833,-7,10000
26.833,26.248,-11.6,10000
26.248,26.097,-13.1,10000
26.097,22.158,-14.5,6000
22.158,25.462,-16.1,6000
25.462,21.576,-17.2,10000
21.576,21.299,-18.6,6000
21.299,24.83,-20,6000
24.83,21.118,-19.8,10000
21.118,24.694,-19.8,6000
24.694,24.813,-20,10000
24.813,15.589,-20.1,10000
15.589,24.682,-20.2,0
24.682,24.875,-20.6,10000
24.875,21.34,-20.2,10000
21.34,21.258,-20.1,6000
21.258,24.867,-20,6000
24.867,15.412,-20.1,10000
15.412,20.603,-20.2,0
20.603,20.618,-20.6,6000
20.618,24.411,-20.5,6000
24.411,14.914,-20.5,10000
14.914,23.899,-20.6,0
23.899,23.76,-21.2,10000
23.76,23.554,-22,10000
23.554,23.087,-22.7,10000
23.087,22.7,-24.7,10000
22.7,18.405,-26.7,6000
18.405,21.814,-28.8,6000
21.814,17.814,-29.7,10000
17.814,17.496,-30.7,6000
17.496,20.659,-31.7,6000
20.659,16.24,-32.7,10000
16.24,19.11,-33.7,6000
19.11,19.504,-35,10000
19.504,10.616,-33,10000
10.616,20.324,-31.2,0
20.324,20.503,-29.3,10000
20.503,16.804,-28.6,10000
16.804,16.752,-27.7,6000
16.752,20.371,-27.2,6000
20.371,11.076,-27.5,10000
11.076,16.169,-27.7,0
16.169,15.946,-28.2,6000
15.946,19.244,-28.2,6000
19.244,9.8343,-28.2,10000
9.8343,18.93,-28.2,0
18.93,19.276,-27.5,10000
19.276,19.537,-26.7,10000
19.537,19.711,-26.1,10000
19.711,19.834,-25.2,10000
19.834,16.315,-24.5,6000
16.315,20.011,-23.8,6000
20.011,16.298,-23.6,10000
16.298,16.15,-23.3,6000
16.15,19.935,-23.2,6000
19.935,16.188,-23.2,10000
16.188,19.82,-23.2,6000
19.82,20.206,-23.2,10000
20.206,11.06,-22.1,10000
11.06,20.906,-21,0
20.906,21.631,-20,10000
21.631,18.368,-18.3,10000
18.368,18.813,-17,6000
18.813,22.662,-15.6,6000
22.662,12.943,-16.3,10000
12.943,18.17,-17.2,0
18.17,18.037,-18.2,6000
18.037,21.765,-17.5,6000
21.765,12.184,-16.7,10000
12.184,21.44,-16.1,0
21.44,21.518,-15.3,10000
21.518,21.632,-14.8,10000
21.632,21.566,-14.3,10000
21.566,21.566,-14.3,10000
21.566,17.794,-14.3,6000
17.794,21.353,-14.3,6000
21.353,17.608,-14.3,10000
17.608,17.487,-14.3,6000
17.487,21.138,-14.3,6000
21.138,17.504,-14.5,10000
17.504,21.125,-14.6,6000
21.125,21.043,-15,10000
21.043,11.538,-15.1,10000
11.538,20.538,-15.3,0
20.538,20.731,-15.6,10000
20.731,17.206,-14.6,10000
17.206,17.205,-14,6000
17.205,21.056,-13.3,6000
21.056,11.838,-12.6,10000
11.838,17.322,-12.1,0
17.322,17.563,-11.6,6000
17.563,21.581,-10.8,6000
21.581,12.474,-10.1,10000
12.474,22.207,-9.3,0
22.207,22.673,-8.1,10000
22.673,23.117,-7,10000
23.117,24.009,-6,10000
24.009,24.962,-2,10000
24.962,21.945,1.7,6000
21.945,26.036,5.5,6000
26.036,22.23,5,10000
22.23,22.156,4.5,6000
22.156,26.094,3.9,6000
26.094,22.326,3.5,10000
22.326,26.287,3.2,6000
26.287,26.589,2.7,10000
26.589,17.047,3.5,10000
17.047,26.93,4.3,0
26.93,27.432,5,10000
27.432,23.856,4.5,10000
23.856,24.006,4.3,6000
24.006,28.071,3.9,6000
28.071,18.281,3.5,10000
18.281,23.987,3.2,0
23.987,24.002,2.7,6000
24.002,27.917,2.2,6000
27.917,17.997,1.7,10000
17.997,27.69,1.1,0
27.69,27.962,0.4,10000
27.962,28.106,-0.3,10000
28.106,28.302,-1.1,10000
28.302,28.499,-0.3,10000
28.499,24.812,0.4,6000
24.812,28.621,1.1,6000
28.621,24.673,0.5,10000
24.673,24.437,0,6000
24.437,28.07,-0.6,6000
28.07,24.055,-2,10000
24.055,27.554,-3.4,6000
27.554,27.964,-5,10000
27.964,18.789,-3.2,10000
18.789,28.816,-1.6,0
28.816,29.37,0,10000
29.37,25.847,0.6,10000
25.847,26.052,1.1,6000
26.052,30.059,1.7,6000
30.059,20.359,1.5,10000
20.359,26.004,1.2,0
26.004,26.147,1.1,6000
26.147,30.114,1.1,6000
30.114,20.396,1.1,10000
20.396,30.035,1.1,0
30.035,30.233,1.2,10000
30.233,30.308,1.5,10000
30.308,30.282,1.7,10000
30.282,30.276,0.8,10000
30.276,26.342,0.2,6000
26.342,30.091,-0.6,6000
30.091,26.247,-1,10000
26.247,26.071,-1.6,6000
26.071,29.848,-2.2,6000
29.848,26.075,-2.5,10000
26.075,29.79,-2.7,6000
29.79,29.559,-3.2,10000
29.559,19.609,-4.5,10000
19.609,28.47,-5.8,0
28.47,28.276,-7.1,10000
28.276,24.121,-9.1,10000
24.121,23.634,-11.1,6000
23.634,26.92,-13.3,6000
26.92,17.101,-14.3,10000
17.101,21.934,-15.5,0
21.934,21.807,-16.7,6000
21.807,25.643,-17,6000
25.643,16.282,-17.2,10000
16.282,25.317,-17.7,0
25.317,25.294,-18.7,10000
25.294,25.158,-19.8,10000
25.158,24.781,-21.1,10000
24.781,24.291,-22.8,10000
24.291,19.991,-24.7,6000
19.991,23.434,-26.7,6000
23.434,19.625,-26.7,10000
19.625,19.323,-26.8,6000
19.323,22.999,-27.2,6000
22.999,19.481,-25.7,10000
19.481,23.192,-24.5,6000
23.192,23.353,-23.2,10000
23.353,14.097,-21.7,10000
14.097,23.342,-20.2,0
23.342,23.735,-18.8,10000
23.735,20.337,-17.5,10000
20.337,20.525,-16.2,6000
20.525,24.131,-15,6000
24.131,14.655,-15.1,10000
14.655,19.913,-15.3,0
19.913,19.874,-15.6,6000
19.874,23.569,-15.3,6000
23.569,14.158,-15.1,10000
14.158,23.222,-15,0
23.222,23.189,-14.6,10000
23.189,23.213,-14.5,10000
23.213,23.272,-14.3,10000
23.272,23.435,-14.1,10000
23.435,19.751,-14,6000
19.751,23.56,-13.8,6000
23.56,20.045,-13.6,10000
20.045,19.967,-13.3,6000
19.967,23.665,-13.3,6000
23.665,20.048,-14,10000
20.048,23.734,-14.6,6000
23.734,23.811,-15.6,10000
23.811,14.144,-15.6,10000
14.144,23.429,-15.8,0
23.429,23.796,-16.1,10000
23.796,20.321,-15.6,10000
20.321,20.526,-15.3,6000
20.526,24.454,-15,6000
24.454,14.856,-16,10000
14.856,20.075,-17.1,0
20.075,20.236,-18.2,6000
20.236,24.308,-17.2,6000
24.308,14.951,-16.3,10000
14.951,24.387,-15.6,0
24.387,24.376,-15.5,10000
24.376,24.358,-15.5,10000
24.358,24.476,-15.6,10000
24.476,24.495,-15.1,10000
24.495,20.711,-14.6,6000
20.711,24.466,-14.3,6000
24.466,20.571,-14.3,10000
20.571,20.423,-14.3,6000
20.423,24.142,-14.3,6000
24.142,20.351,-14.5,10000
20.351,23.866,-14.6,6000
23.866,24.057,-15,10000
24.057,14.506,-14.8,10000
14.506,23.815,-14.8,0
23.815,24.072,-15,10000
24.072,20.534,-14.5,10000
20.534,20.557,-14.1,6000
20.557,24.197,-13.8,6000
24.197,14.507,-14.1,10000
14.507,19.757,-14.5,0
19.757,19.577,-15,6000
19.577,23.195,-15.5,6000
23.195,13.504,-16,10000
13.504,22.41,-16.7,0
22.41,21.931,-18.3,10000
21.931,21.418,-20.2,10000
21.418,21.426,-22.2,10000
21.426,21.417,-21.6,10000
21.417,17.702,-21,6000
17.702,21.289,-20.6,6000
21.289,17.457,-20.8,10000
17.457,17.177,-21.2,6000
17.177,20.912,-21.7,6000
20.912,17.295,-21,10000
17.295,21.161,-20.5,6000
21.161,21.584,-20,10000
21.584,12.672,-17.7,10000
12.672,22.559,-15.3,0
22.559,23.242,-13.3,10000
23.242,20.095,-12.1,10000
20.095,20.6,-11,6000
20.6,24.663,-10,6000
24.663,15.147,-10.1,10000
15.147,20.644,-10.3,0
20.644,20.614,-10.6,6000
20.614,24.398,-10.5,6000
24.398,14.751,-10.5,10000
14.751,24.282,-10.6,0
24.282,24.628,-10.3,10000
24.628,24.88,-10.1,10000
24.88,24.863,-10,10000
24.863,24.738,-10.8,10000
24.738,20.697,-11.8,6000
20.697,24.75,-12.8,6000
24.75,21.2,-11.8,10000
21.2,21.296,-10.8,6000
21.296,25.285,-10,6000
25.285,21.537,-9.6,10000
21.537,25.435,-9.5,6000
25.435,25.714,-9.3,10000
25.714,16.202,-8,10000
16.202,26.08,-6.8,0
26.08,26.602,-5.5,10000
26.602,23.151,-5.3,10000
23.151,23.374,-5,6000
23.374,27.188,-5,6000
27.188,17.473,-6,10000
17.473,22.693,-7,0
22.693,22.559,-8.3,6000
22.559,26.218,-9,6000
26.218,16.409,-9.6,10000
16.409,25.408,-10.6,0
25.408,25.16,-10.8,10000
25.16,24.78,-11.1,10000
24.78,24.814,-11.6,10000
24.814,24.916,-11.1,10000
24.916,21.218,-10.8,6000
21.218,24.874,-10.6,6000
24.874,21.13,-10.6,10000
21.13,20.941,-10.8,6000
20.941,24.85,-11.1,6000
24.85,21.407,-11,10000
21.407,25.275,-11,6000
25.275,25.648,-11.1,10000
25.648,16.364,-9.8,10000
16.364,25.965,-8.8,0
25.965,26.648,-7.8,10000
26.648,23.494,-6.5,10000
23.494,23.905,-5.4,6000
23.905,28.023,-4.4,6000
28.023,18.282,-4.6,10000
18.282,23.933,-5,0
23.933,23.969,-5.5,6000
23.969,27.886,-5.5,6000
27.886,18.122,-5.5,10000
18.122,27.707,-5.5,0
27.707,27.879,-5.6,10000
27.879,27.955,-5.8,10000
27.955,27.726,-6,10000
27.726,27.397,-7.3,10000
25.769,22.36,-4.8,10000
22.36,22.498,-4,6000
22.498,16.621,-3.5,6000
16.621,22.521,-3,0
22.521,22.432,-2.7,6000
22.432,16.434,-2.5,6000
16.434,26.177,-2.2,0
26.177,16.575,-1.8,10000
16.575,26.254,-1.7,0
26.254,26.602,-1.7,10000
26.602,26.779,-1.3,10000
26.779,26.9,-1.2,10000
26.9,23.113,-1.1,10000
23.113,17.229,-1.6,6000
17.229,16.884,-2,0
16.884,16.613,-2.7,0
16.613,22.213,-3,0
22.213,16.304,-3.4,6000
16.304,16.015,-3.9,0
16.015,25.552,-4,0
25.552,25.597,-4,10000
25.597,21.854,-4.4,10000
21.854,15.986,-4.3,6000
15.986,25.441,-4.3,10000
25.441,21.743,-4.4,10000
21.743,21.627,-4.6,6000
21.627,15.688,-5,6000
15.688,21.151,-5.5,0
21.151,20.973,-6.5,6000
20.973,14.958,-7.6,6000
14.958,24.727,-8.8,0
24.727,15.641,-7.3,10000
15.641,25.702,-5.8,0
25.702,26.258,-4.4,10000
26.258,26.682,-3.4,10000
26.682,26.993,-2.5,10000
26.993,23.395,-1.7,10000
23.395,17.442,-2.9,6000
17.442,17.146,-4.1,0
17.146,16.838,-5.5,0
16.838,22.506,-5.9,0
22.506,16.51,-6.1,6000
16.51,15.922,-6.6,0
15.922,25.209,-7.9,0
25.209,24.952,-9.1,10000
24.952,21.362,-10.6,10000
21.362,15.715,-9.6,6000
15.715,25.492,-8.6,10000
25.492,22.114,-7.8,10000
22.114,22.327,-6.5,6000
22.327,16.615,-5.4,6000
16.615,22.535,-4.4,0
22.535,22.659,-3.2,6000
22.659,16.781,-2,6000
16.781,26.463,-1.1,0
26.463,17.047,0.4,10000
17.047,26.802,1.7,0
26.802,27.245,3.2,10000
27.245,27.607,3.2,10000
27.607,28.048,3.2,10000
28.048,24.377,3.2,10000
24.377,18.512,2.7,6000
18.512,18.236,2.2,0
18.236,17.808,1.7,0
17.808,23.262,-0.6,0
23.262,17.193,-3,6000
17.193,16.876,-5.5,0
16.876,26.536,-5.5,0
26.536,26.751,-5.5,10000
26.751,22.994,-5.5,10000
22.994,16.979,-5.3,6000
16.979,26.587,-5,10000
26.587,22.698,-5,10000
22.698,22.455,-5.5,6000
22.455,16.315,-6.4,6000
16.315,21.867,-7.1,0
21.867,21.814,-7.6,6000
21.814,15.862,-8.1,6000
15.862,25.737,-8.8,0
25.737,16.564,-7.3,10000
16.564,26.723,-5.8,0
26.723,27.192,-4.4,10000
27.192,27.415,-4,10000
27.415,27.496,-4,10000
27.496,23.684,-3.9,10000
23.684,17.611,-4.6,6000
17.611,17.095,-5.6,0
17.095,16.64,-6.6,0
16.64,22.041,-7,0
22.041,16.021,-7.3,6000
16.021,15.648,-7.8,0
15.648,25.017,-7.5,0
25.017,25.109,-7.3,10000
25.109,21.298,-7.1,10000
21.298,15.46,-7,6000
15.46,24.711,-7,10000
24.711,21.018,-7.1,10000
21.018,20.799,-7.3,6000
20.799,14.946,-7.5,6000
14.946,20.396,-7.8,0
20.396,20.4,-7.6,6000
20.4,14.675,-7.6,6000
14.675,23.872,-7.8,0
23.872,14.47,-8.1,10000
14.47,23.692,-8.3,0
23.692,23.922,-8.8,10000
23.922,24.085,-9.1,10000
24.085,24.233,-9.5,10000
24.233,20.425,-10,10000
20.425,14.422,-10.6,6000
14.422,14.049,-11.3,0
14.049,13.713,-12.1,0
13.713,19.296,-12.5,0
19.296,13.398,-12.8,6000
13.398,13.159,-13.3,0
13.159,22.696,-13.3,0
22.696,22.962,-13.6,10000
22.962,19.145,-13.8,10000
19.145,13.015,-14.1,6000
13.015,22.326,-14.5,10000
22.326,18.376,-15,10000
18.376,17.995,-16.2,6000
17.995,11.72,-17.5,6000
11.72,16.93,-18.8,0
16.93,16.661,-19.7,6000
16.661,10.572,-20.7,6000
10.572,19.769,-21.7,0
19.769,10.341,-21.6,10000
10.341,19.444,-21.6,0
19.444,19.828,-21.7,10000
19.828,20.122,-21.2,10000
20.122,20.509,-20.8,10000
20.509,16.861,-20.6,10000
16.861,10.922,-21,6000
10.922,10.39,-21.6,0
10.39,9.9199,-22.2,0
9.9199,15.157,-22.7,0
15.157,9.1508,-23.6,6000
9.1508,8.7091,-24.3,0
8.7091,17.822,-25.1,0
17.822,17.666,-25.7,10000
17.666,13.741,-26.7,10000
13.741,7.8176,-27.1,6000
7.8176,16.937,-27.7,10000
16.937,13.299,-28.2,10000
13.299,13.166,-28.2,6000
13.166,7.3702,-28.2,6000
7.3702,12.69,-28.2,0
12.69,12.447,-29,6000
12.447,6.3354,-29.7,6000
6.3354,15.958,-30.6,0
15.958,6.8799,-28.3,10000
6.8799,16.715,-26.3,0
16.715,17.232,-24.3,10000
17.232,17.632,-23.3,10000
17.632,18.042,-22.5,10000
18.042,14.373,-21.7,10000
14.373,8.4361,-22,6000
8.4361,8.071,-22.2,0
8.071,7.685,-22.7,0
7.685,13.209,-23.1,0
13.209,7.2001,-23.3,6000
7.2001,6.9024,-23.8,0
6.9024,16.442,-22.7,0
16.442,16.647,-21.6,10000
16.647,13.279,-20.6,10000
13.279,7.7664,-18.2,6000
7.7664,17.778,-16,10000
17.778,14.312,-13.8,10000
14.312,14.383,-12.8,6000
14.383,8.5745,-11.8,6000
8.5745,14.695,-11.1,0
14.695,15.161,-9.1,6000
15.161,9.52,-7.3,6000
9.52,19.478,-5.5,0
19.478,10.132,-3,10000
10.132,19.989,-0.6,0
19.989,20.445,1.7,10000
20.445,20.768,1.5,10000
20.768,21.106,1.2,10000
21.106,17.497,1.1,10000
17.497,11.573,0.4,6000
11.573,11.341,-0.3,0
11.341,11.119,-1.1,0
11.119,16.935,-1.6,0
16.935,10.965,-2,6000
10.965,10.718,-2.7,0
10.718,20.403,-2.2,0
20.403,20.58,-2,10000
20.58,16.546,-1.7,10000
16.546,10.269,-4,6000
10.269,19.4,-6.4,10000
19.4,15.698,-8.8,10000
15.698,15.706,-9.1,6000
15.706,9.8186,-9.5,6000
9.8186,15.565,-10,0
15.565,15.627,-10.1,6000
15.627,9.7284,-10.3,6000
9.7284,19.56,-10.6,0
19.56,10.181,-9.6,10000
10.181,20.07,-8.6,0
20.07,20.785,-7.8,10000
20.785,21.455,-6.5,10000
21.455,22.09,-5.4,10000
22.09,18.318,-4.4,10000
18.318,12.045,-6.5,6000
12.045,11.494,-8.8,0
11.494,11.038,-11.1,0
11.038,16.603,-11.6,0
16.603,10.496,-12.1,6000
10.496,10.262,-12.8,0
10.262,19.883,-12.6,0
19.883,20.045,-12.6,10000
20.045,16.284,-12.8,10000
16.284,10.319,-12.6,6000
10.319,19.756,-12.6,10000
19.756,16.066,-12.8,10000
16.066,15.962,-12.5,6000
15.962,10.082,-12.3,6000
10.082,15.667,-12.1,0
15.667,15.661,-12.3,6000
15.661,9.7103,-12.5,6000
9.7103,19.457,-12.8,0
19.457,10.205,-11.3,10000
10.205,20.118,-10.1,0
20.118,20.737,-8.8,10000
20.737,21.306,-7.9,10000
21.306,21.864,-6.9,10000
21.864,18.258,-6,10000
18.258,12.367,-6.4,6000
12.367,12.032,-6.6,0
12.032,11.878,-7.1,0
11.878,17.641,-6.9,0
17.641,11.797,-6.8,6000
11.797,11.684,-6.6,0
11.684,21.471,-6.1,0
21.471,21.887,-5.9,10000
21.887,18.081,-5.5,10000
18.081,12.098,-5.9,6000
12.098,21.805,-6.1,10000
21.805,18.124,-6.6,10000
18.124,18.117,-6.8,6000
18.117,12.161,-6.9,6000
12.161,18.365,-7.1,0
18.365,18.887,-3.5,6000
18.887,13.419,-0.1,6000
13.419,23.327,3.2,0
23.327,13.707,3.2,10000
13.707,23.456,3.2,0
23.456,23.984,3.2,10000
23.984,24.44,2.9,10000
24.44,24.804,2.5,10000
24.804,21.08,2.2,10000
21.08,15.07,2,6000
15.07,14.861,1.8,0
14.861,14.609,1.7,0
14.609,20.326,0.6,0
20.326,14.198,-0.5,6000
14.198,13.892,-1.7,0
13.892,23.61,-2,0
23.61,23.693,-2.7,10000
23.693,20.05,-3.2,10000
20.05,14.251,-2.7,6000
14.251,24.192,-2,10000
24.192,20.593,-1.7,10000
20.593,20.643,-1.6,6000
20.643,14.685,-1.6,6000
14.685,20.594,-1.7,0
20.594,20.734,-1.6,6000
20.734,14.701,-1.6,6000
14.701,24.593,-1.7,0
24.593,14.925,-0.1,10000
14.925,24.703,1.2,0
24.703,24.937,2.7,10000
24.937,25.102,2.4,10000
25.102,25.297,2,10000
25.297,21.83,1.7,10000
21.83,16.183,0.4,6000
16.183,16.15,-0.8,0
16.15,15.933,-2.2,0
15.933,21.713,-2.7,0
21.713,15.634,-3.2,6000
15.634,15.276,-3.9,0
15.276,24.965,-4,0
24.965,25.028,-4,10000
25.028,21.323,-4.4,10000
21.323,15.37,-3.7,6000
15.37,25.142,-3.2,10000
25.142,21.5,-2.7,10000
21.5,21.55,-2.5,6000
21.55,15.564,-2.2,6000
15.564,21.409,-2.2,0
21.409,21.557,-1.8,6000
21.557,15.626,-1.7,6000
15.626,25.25,-1.7,0
25.25,15.572,-1.6,10000
15.572,24.962,-1.6,0
24.962,25.354,-1.7,10000
25.354,25.824,-1.3,10000
25.824,26.26,-1.2,10000
26.26,22.504,-1.1,10000
22.504,16.46,-2,6000
16.46,16.049,-3.2,0
16.049,15.871,-4.4,0
15.871,21.745,-4,0
21.745,15.871,-4,6000
15.871,15.537,-3.9,0
15.537,25.027,-4.5,0
25.027,25.086,-5.3,10000
25.086,21.135,-6,10000
21.135,14.898,-6.9,6000
14.898,24.234,-7.9,10000
24.234,20.36,-8.8,10000
20.36,19.994,-9.6,6000
19.994,13.881,-10.6,6000
13.881,19.491,-11.6,0
19.491,19.72,-11,6000
19.72,13.949,-10.5,6000
13.949,23.549,-10,0
23.549,14.142,-10.1,10000
14.142,23.832,-10.3,0
23.832,24.143,-10.6,10000
24.143,24.357,-9.8,10000
24.357,24.625,-9.3,10000
24.625,20.845,-8.8,10000
20.845,14.789,-10.1,6000
14.789,14.191,-11.3,0
14.191,13.85,-12.8,0
13.85,19.298,-13.3,0
19.298,13.243,-14.1,6000
13.243,12.807,-15,0
12.807,22.167,-16,0
22.167,22.223,-17.1,10000
22.223,18.39,-18.2,10000
18.39,12.447,-17.5,6000
12.447,21.857,-16.7,10000
21.857,18.302,-16.1,10000
18.302,18.311,-15.1,6000
18.311,12.472,-14.1,6000
12.472,18.083,-13.3,0
18.083,18.18,-12.3,6000
18.18,12.383,-11.3,6000
12.383,22.015,-10.6,0
22.015,12.896,-9.1,10000
12.896,22.634,-7.9,0
22.634,23.23,-6.6,10000
23.23,23.874,-4.9,10000
23.874,24.429,-3.2,10000
24.429,21.09,-1.7,10000
21.09,15.433,-0.3,6000
15.433,15.527,0.8,0
15.527,15.403,2.2,0
15.403,21.295,2.2,0
21.295,15.344,2.2,6000
15.344,14.265,2.2,0
14.265,22.273,-2.2,0
22.273,20.786,-7,10000
20.786,16.622,-11.6,10000
16.622,10.767,-13.1,6000
10.767,19.559,-14.5,10000
19.559,15.763,-16.1,10000
15.763,15.438,-17.2,6000
15.438,9.5834,-18.6,6000
9.5834,14.934,-20,0
14.934,14.88,-19.8,6000
14.88,9.1662,-19.8,6000
9.1662,18.407,-20,0
18.407,9.1689,-20.1,10000
9.1689,18.456,-20.2,0
18.456,18.728,-20.6,10000
18.728,18.998,-20.2,10000
18.998,19.141,-20.1,10000
19.141,15.392,-20,10000
15.392,9.4928,-20.1,6000
9.4928,9.0844,-20.2,0
9.0844,8.8926,-20.6,0
8.8926,14.557,-20.5,0
14.557,8.713,-20.5,6000
8.713,8.2789,-20.6,0
8.2789,17.496,-21.2,0
17.496,17.453,-22,10000
17.453,13.273,-22.7,10000
13.273,7.0298,-24.7,6000
7.0298,15.856,-26.7,10000
15.856,11.991,-28.8,10000
11.991,11.64,-29.7,6000
11.64,5.6423,-30.7,6000
5.6423,10.706,-31.7,0
10.706,10.05,-32.7,6000
10.05,3.7021,-33.7,6000
3.7021,13.188,-35,0
13.188,4.2829,-33,10000
4.2829,14.161,-31.2,0
14.161,14.449,-29.3,10000
14.449,14.574,-28.6,10000
14.574,14.753,-27.7,10000
14.753,11.126,-27.2,10000
11.126,5.3474,-27.5,6000
5.3474,4.9306,-27.7,0
4.9306,4.5485,-28.2,0
4.5485,9.7466,-28.2,0
9.7466,3.9179,-28.2,6000
3.9179,3.7524,-28.2,0
3.7524,13.231,-27.5,0
13.231,13.611,-26.7,10000
13.611,10.044,-26.1,10000
10.044,4.2883,-25.2,6000
4.2883,13.868,-24.5,10000
13.868,10.233,-23.8,10000
10.233,10.18,-23.6,6000
10.18,4.3071,-23.3,6000
4.3071,9.929,-23.2,0
9.929,9.9404,-23.2,6000
9.9404,4.024,-23.2,6000
4.024,13.763,-23.2,0
13.763,4.5856,-22.1,10000
4.5856,14.611,-21,0
14.611,15.398,-20,10000
15.398,16.073,-18.3,10000
16.073,16.75,-17,10000
16.75,13.007,-15.6,10000
13.007,6.9496,-16.3,6000
6.9496,6.4617,-17.2,0
6.4617,6.1735,-18.2,0
6.1735,11.864,-17.5,0
11.864,6,-16.7,6000
6,5.7591,-16.1,0
5.7591,15.277,-15.3,0
15.277,15.548,-14.8,10000
15.548,11.727,-14.3,10000
11.727,5.8092,-14.3,6000
5.8092,15.268,-14.3,10000
15.268,11.506,-14.3,10000
11.506,11.433,-14.3,6000
11.433,5.5964,-14.3,6000
5.5964,11.121,-14.3,0
11.121,11.217,-14.5,6000
11.217,5.3179,-14.6,6000
5.3179,14.622,-15,0
14.622,5.135,-15.1,10000
5.135,14.371,-15.3,0
14.371,14.663,-15.6,10000
14.663,14.965,-14.6,10000
14.965,15.195,-14,10000
15.195,11.688,-13.3,10000
11.688,6.0189,-12.6,6000
6.0189,5.882,-12.1,0
5.882,5.899,-11.6,0
5.899,11.78,-10.8,0
11.78,6.289,-10.1,6000
6.289,6.3649,-9.3,0
6.3649,16.327,-8.1,0
16.327,16.903,-7,10000
16.903,13.849,-6,10000
13.849,8.5401,-2,6000
