index,temp out,temp in
     199.0,     -20.0,      45.0
     200.0,     -20.0,      46.0
     201.0,     -20.0,      47.0
     202.0,     -20.0,      48.0
     203.0,     -20.0,      49.0
     204.0,     -20.0,      50.0
     205.0,     -20.0,      51.0
     206.0,     -20.0,      52.0
     207.0,     -20.0,      53.0
     208.0,     -20.0,      54.0
     209.0,     -20.0,      55.0
     210.0,     -20.0,      56.0
     211.0,     -20.0,      57.0
     212.0,     -19.0,       5.0
     213.0,     -19.0,       6.0
     214.0,     -19.0,       7.0
     215.0,     -19.0,       8.0
     216.0,     -19.0,       9.0
     217.0,     -19.0,      10.0
     218.0,     -19.0,      11.0
     219.0,     -19.0,      12.0
     220.0,     -19.0,      13.0
     221.0,     -19.0,      14.0
     222.0,     -19.0,      15.0
     223.0,     -19.0,      16.0
     224.0,     -19.0,      17.0
     225.0,     -19.0,      18.0
     226.0,     -19.0,      19.0
     227.0,     -19.0,      20.0
     228.0,     -19.0,      21.0
     229.0,     -19.0,      22.0
     230.0,     -19.0,      23.0
     231.0,     -19.0,      24.0
     232.0,     -19.0,      25.0
     233.0,     -19.0,      26.0
     234.0,     -19.0,      27.0
     235.0,     -19.0,      28.0
     236.0,     -19.0,      29.0
     237.0,     -19.0,      30.0
     238.0,     -19.0,      31.0
     239.0,     -19.0,      32.0
     240.0,     -19.0,      33.0
     241.0,     -19.0,      34.0
     242.0,     -19.0,      35.0
     243.0,     -19.0,      36.0
     244.0,     -19.0,      37.0
     245.0,     -19.0,      38.0
     246.0,     -19.0,      39.0
     247.0,     -19.0,      40.0
     248.0,     -19.0,      41.0
     249.0,     -19.0,      42.0
     250.0,     -19.0,      43.0
     251.0,     -19.0,      44.0
     252.0,     -19.0,      45.0
     253.0,     -19.0,      46.0
     254.0,     -19.0,      47.0
     255.0,     -19.0,      48.0
     256.0,     -19.0,      49.0
     257.0,     -19.0,      50.0
     258.0,     -19.0,      51.0
     259.0,     -19.0,      52.0
     260.0,     -19.0,      53.0
     261.0,     -19.0,      54.0
     262.0,     -19.0,      55.0
     263.0,     -19.0,      56.0
     264.0,     -19.0,      57.0
     265.0,     -18.0,       5.0
     266.0,     -18.0,       6.0
     267.0,     -18.0,       7.0
