index,temp out,temp in
     199.0,     -29.0,      23.0
     200.0,     -29.0,      24.0
     201.0,     -29.0,      25.0
     202.0,     -29.0,      26.0
     203.0,     -29.0,      27.0
     204.0,     -29.0,      28.0
     205.0,     -29.0,      29.0
     206.0,     -29.0,      30.0
     207.0,     -29.0,      31.0
     208.0,     -29.0,      32.0
     209.0,     -29.0,      33.0
     210.0,     -28.0,       4.0
     211.0,     -28.0,       5.0
     212.0,     -28.0,       6.0
     213.0,     -28.0,       7.0
     214.0,     -28.0,       8.0
     215.0,     -28.0,       9.0
     216.0,     -28.0,      10.0
     217.0,     -28.0,      11.0
     218.0,     -28.0,      12.0
     219.0,     -28.0,      13.0
     220.0,     -28.0,      14.0
     221.0,     -28.0,      15.0
     222.0,     -28.0,      16.0
     223.0,     -28.0,      17.0
     224.0,     -28.0,      18.0
     225.0,     -28.0,      19.0
     226.0,     -28.0,      20.0
     227.0,     -28.0,      21.0
     228.0,     -28.0,      22.0
     229.0,     -28.0,      23.0
     230.0,     -28.0,      24.0
     231.0,     -28.0,      25.0
     232.0,     -28.0,      26.0
     233.0,     -28.0,      27.0
     234.0,     -28.0,      28.0
     235.0,     -28.0,      29.0
     236.0,     -28.0,      30.0
     237.0,     -28.0,      31.0
     238.0,     -28.0,      32.0
     239.0,     -28.0,      33.0
     240.0,     -27.0,       4.0
     241.0,     -27.0,       5.0
     242.0,     -27.0,       6.0
     243.0,     -27.0,       7.0
     244.0,     -27.0,       8.0
     245.0,     -27.0,       9.0
     246.0,     -27.0,      10.0
     247.0,     -27.0,      11.0
     248.0,     -27.0,      12.0
     249.0,     -27.0,      13.0
     250.0,     -27.0,      14.0
     251.0,     -27.0,      15.0
     252.0,     -27.0,      16.0
     253.0,     -27.0,      17.0
     254.0,     -27.0,      18.0
     255.0,     -27.0,      19.0
     256.0,     -27.0,      20.0
     257.0,     -27.0,      21.0
     258.0,     -27.0,      22.0
     259.0,     -27.0,      23.0
     260.0,     -27.0,      24.0
     261.0,     -27.0,      25.0
     262.0,     -27.0,      26.0
     263.0,     -27.0,      27.0
     264.0,     -27.0,      28.0
     265.0,     -27.0,      29.0
     266.0,     -27.0,      30.0
     267.0,     -27.0,      31.0
     268.0,     -27.0,      32.0
     269.0,     -27.0,      33.0
     270.0,     -26.0,       4.0
     271.0,     -26.0,       5.0
     272.0,     -26.0,       6.0
     273.0,     -26.0,       7.0
     274.0,     -26.0,       8.0
     275.0,     -26.0,       9.0
     276.0,     -26.0,      10.0
     277.0,     -26.0,      11.0
     278.0,     -26.0,      12.0
     279.0,     -26.0,      13.0
     280.0,     -26.0,      14.0
     281.0,     -26.0,      15.0
     282.0,     -26.0,      16.0
     283.0,     -26.0,      17.0
     284.0,     -26.0,      18.0
     285.0,     -26.0,      19.0
     286.0,     -26.0,      20.0
     287.0,     -26.0,      21.0
     288.0,     -26.0,      22.0
     289.0,     -26.0,      23.0
     290.0,     -26.0,      24.0
     291.0,     -26.0,      25.0
     292.0,     -26.0,      26.0
     293.0,     -26.0,      27.0
     294.0,     -26.0,      28.0
     295.0,     -26.0,      29.0
     296.0,     -26.0,      30.0
     297.0,     -26.0,      31.0
     298.0,     -26.0,      32.0
     299.0,     -26.0,      33.0
     300.0,     -25.0,       4.0
     301.0,     -25.0,       5.0
     302.0,     -25.0,       6.0
     303.0,     -25.0,       7.0
     304.0,     -25.0,       8.0
     305.0,     -25.0,       9.0
     306.0,     -25.0,      10.0
     307.0,     -25.0,      11.0
     308.0,     -25.0,      12.0
     309.0,     -25.0,      13.0
     310.0,     -25.0,      14.0
     311.0,     -25.0,      15.0
     312.0,     -25.0,      16.0
     313.0,     -25.0,      17.0
     314.0,     -25.0,      18.0
     315.0,     -25.0,      19.0
     316.0,     -25.0,      20.0
     317.0,     -25.0,      21.0
     318.0,     -25.0,      22.0
     319.0,     -25.0,      23.0
     320.0,     -25.0,      24.0
     321.0,     -25.0,      25.0
     322.0,     -25.0,      26.0
     323.0,     -25.0,      27.0
     324.0,     -25.0,      28.0
     325.0,     -25.0,      29.0
     326.0,     -25.0,      30.0
     327.0,     -25.0,      31.0
     328.0,     -25.0,      32.0
     329.0,     -25.0,      33.0
     330.0,     -24.0,       4.0
     331.0,     -24.0,       5.0
     332.0,     -24.0,       6.0
     333.0,     -24.0,       7.0
     334.0,     -24.0,       8.0
     335.0,     -24.0,       9.0
     336.0,     -24.0,      10.0
     337.0,     -24.0,      11.0
     338.0,     -24.0,      12.0
     339.0,     -24.0,      13.0
     340.0,     -24.0,      14.0
     341.0,     -24.0,      15.0
     342.0,     -24.0,      16.0
     343.0,     -24.0,      17.0
     344.0,     -24.0,      18.0
     345.0,     -24.0,      19.0
     346.0,     -24.0,      20.0
     347.0,     -24.0,      21.0
     348.0,     -24.0,      22.0
     349.0,     -24.0,      23.0
     350.0,     -24.0,      24.0
     351.0,     -24.0,      25.0
     352.0,     -24.0,      26.0
     353.0,     -24.0,      27.0
     354.0,     -24.0,      28.0
     355.0,     -24.0,      29.0
     356.0,     -24.0,      30.0
     357.0,     -24.0,      31.0
     358.0,     -24.0,      32.0
     359.0,     -24.0,      33.0
     360.0,     -23.0,       4.0
     361.0,     -23.0,       5.0
     362.0,     -23.0,       6.0
     363.0,     -23.0,       7.0
     364.0,     -23.0,       8.0
     365.0,     -23.0,       9.0
     366.0,     -23.0,      10.0
     367.0,     -23.0,      11.0
     368.0,     -23.0,      12.0
     369.0,     -23.0,      13.0
     370.0,     -23.0,      14.0
     371.0,     -23.0,      15.0
     372.0,     -23.0,      16.0
     373.0,     -23.0,      17.0
     374.0,     -23.0,      18.0
     375.0,     -23.0,      19.0
     376.0,     -23.0,      20.0
     377.0,     -23.0,      21.0
     378.0,     -23.0,      22.0
     379.0,     -23.0,      23.0
     380.0,     -23.0,      24.0
     381.0,     -23.0,      25.0
     382.0,     -23.0,      26.0
     383.0,     -23.0,      27.0
     384.0,     -23.0,      28.0
     385.0,     -23.0,      29.0
     386.0,     -23.0,      30.0
     387.0,     -23.0,      31.0
     388.0,     -23.0,      32.0
     389.0,     -23.0,      33.0
     390.0,     -22.0,       4.0
     391.0,     -22.0,       5.0
     392.0,     -22.0,       6.0
     393.0,     -22.0,       7.0
     394.0,     -22.0,       8.0
     395.0,     -22.0,       9.0
     396.0,     -22.0,      10.0
     397.0,     -22.0,      11.0
     398.0,     -22.0,      12.0
     399.0,     -22.0,      13.0
     400.0,     -22.0,      14.0
     401.0,     -22.0,      15.0
     402.0,     -22.0,      16.0
     403.0,     -22.0,      17.0
     404.0,     -22.0,      18.0
     405.0,     -22.0,      19.0
     406.0,     -22.0,      20.0
     407.0,     -22.0,      21.0
     408.0,     -22.0,      22.0
     409.0,     -22.0,      23.0
     410.0,     -22.0,      24.0
     411.0,     -22.0,      25.0
     412.0,     -22.0,      26.0
     413.0,     -22.0,      27.0
     414.0,     -22.0,      28.0
     415.0,     -22.0,      29.0
     416.0,     -22.0,      30.0
     417.0,     -22.0,      31.0
     418.0,     -22.0,      32.0
     419.0,     -22.0,      33.0
     420.0,     -21.0,       4.0
     421.0,     -21.0,       5.0
     422.0,     -21.0,       6.0
     423.0,     -21.0,       7.0
     424.0,     -21.0,       8.0
     425.0,     -21.0,       9.0
     426.0,     -21.0,      10.0
     427.0,     -21.0,      11.0
     428.0,     -21.0,      12.0
     429.0,     -21.0,      13.0
     430.0,     -21.0,      14.0
     431.0,     -21.0,      15.0
     432.0,     -21.0,      16.0
     433.0,     -21.0,      17.0
     434.0,     -21.0,      18.0
     435.0,     -21.0,      19.0
     436.0,     -21.0,      20.0
     437.0,     -21.0,      21.0
     438.0,     -21.0,      22.0
     439.0,     -21.0,      23.0
     440.0,     -21.0,      24.0
     441.0,     -21.0,      25.0
     442.0,     -21.0,      26.0
     443.0,     -21.0,      27.0
     444.0,     -21.0,      28.0
     445.0,     -21.0,      29.0
     446.0,     -21.0,      30.0
     447.0,     -21.0,      31.0
     448.0,     -21.0,      32.0
     449.0,     -21.0,      33.0
     450.0,     -20.0,       4.0
     451.0,     -20.0,       5.0
     452.0,     -20.0,       6.0
     453.0,     -20.0,       7.0
     454.0,     -20.0,       8.0
     455.0,     -20.0,       9.0
     456.0,     -20.0,      10.0
     457.0,     -20.0,      11.0
     458.0,     -20.0,      12.0
     459.0,     -20.0,      13.0
     460.0,     -20.0,      14.0
     461.0,     -20.0,      15.0
     462.0,     -20.0,      16.0
     463.0,     -20.0,      17.0
     464.0,     -20.0,      18.0
     465.0,     -20.0,      19.0
     466.0,     -20.0,      20.0
     467.0,     -20.0,      21.0
     468.0,     -20.0,      22.0
     469.0,     -20.0,      23.0
     470.0,     -20.0,      24.0
     471.0,     -20.0,      25.0
     472.0,     -20.0,      26.0
     473.0,     -20.0,      27.0
     474.0,     -20.0,      28.0
     475.0,     -20.0,      29.0
     476.0,     -20.0,      30.0
     477.0,     -20.0,      31.0
     478.0,     -20.0,      32.0
     479.0,     -20.0,      33.0
     480.0,     -19.0,       4.0
     481.0,     -19.0,       5.0
     482.0,     -19.0,       6.0
     483.0,     -19.0,       7.0
     484.0,     -19.0,       8.0
     485.0,     -19.0,       9.0
     486.0,     -19.0,      10.0
     487.0,     -19.0,      11.0
     488.0,     -19.0,      12.0
     489.0,     -19.0,      13.0
     490.0,     -19.0,      14.0
     491.0,     -19.0,      15.0
     492.0,     -19.0,      16.0
     493.0,     -19.0,      17.0
     494.0,     -19.0,      18.0
     495.0,     -19.0,      19.0
     496.0,     -19.0,      20.0
     497.0,     -19.0,      21.0
     498.0,     -19.0,      22.0
     499.0,     -19.0,      23.0
     500.0,     -19.0,      24.0
     501.0,     -19.0,      25.0
     502.0,     -19.0,      26.0
     503.0,     -19.0,      27.0
     504.0,     -19.0,      28.0
     505.0,     -19.0,      29.0
     506.0,     -19.0,      30.0
     507.0,     -19.0,      31.0
     508.0,     -19.0,      32.0
     509.0,     -19.0,      33.0
     510.0,     -18.0,       4.0
     511.0,     -18.0,       5.0
     512.0,     -18.0,       6.0
     513.0,     -18.0,       7.0
     514.0,     -18.0,       8.0
     515.0,     -18.0,       9.0
     516.0,     -18.0,      10.0
     517.0,     -18.0,      11.0
     518.0,     -18.0,      12.0
     519.0,     -18.0,      13.0
     520.0,     -18.0,      14.0
     521.0,     -18.0,      15.0
     522.0,     -18.0,      16.0
     523.0,     -18.0,      17.0
     524.0,     -18.0,      18.0
     525.0,     -18.0,      19.0
     526.0,     -18.0,      20.0
     527.0,     -18.0,      21.0
     528.0,     -18.0,      22.0
     529.0,     -18.0,      23.0
     530.0,     -18.0,      24.0
     531.0,     -18.0,      25.0
     532.0,     -18.0,      26.0
     533.0,     -18.0,      27.0
     534.0,     -18.0,      28.0
     535.0,     -18.0,      29.0
     536.0,     -18.0,      30.0
     537.0,     -18.0,      31.0
     538.0,     -18.0,      32.0
     539.0,     -18.0,      33.0
     540.0,     -17.0,       4.0
     541.0,     -17.0,       5.0
     542.0,     -17.0,       6.0
     543.0,     -17.0,       7.0
     544.0,     -17.0,       8.0
     545.0,     -17.0,       9.0
     546.0,     -17.0,      10.0
     547.0,     -17.0,      11.0
     548.0,     -17.0,      12.0
     549.0,     -17.0,      13.0
     550.0,     -17.0,      14.0
     551.0,     -17.0,      15.0
     552.0,     -17.0,      16.0
     553.0,     -17.0,      17.0
     554.0,     -17.0,      18.0
     555.0,     -17.0,      19.0
     556.0,     -17.0,      20.0
     557.0,     -17.0,      21.0
     558.0,     -17.0,      22.0
     559.0,     -17.0,      23.0
     560.0,     -17.0,      24.0
     561.0,     -17.0,      25.0
     562.0,     -17.0,      26.0
     563.0,     -17.0,      27.0
     564.0,     -17.0,      28.0
     565.0,     -17.0,      29.0
     566.0,     -17.0,      30.0
     567.0,     -17.0,      31.0
     568.0,     -17.0,      32.0
     569.0,     -17.0,      33.0
     570.0,     -16.0,       4.0
     571.0,     -16.0,       5.0
     572.0,     -16.0,       6.0
     573.0,     -16.0,       7.0
     574.0,     -16.0,       8.0
     575.0,     -16.0,       9.0
     576.0,     -16.0,      10.0
     577.0,     -16.0,      11.0
     578.0,     -16.0,      12.0
     579.0,     -16.0,      13.0
     580.0,     -16.0,      14.0
     581.0,     -16.0,      15.0
     582.0,     -16.0,      16.0
     583.0,     -16.0,      17.0
     584.0,     -16.0,      18.0
     585.0,     -16.0,      19.0
     586.0,     -16.0,      20.0
     587.0,     -16.0,      21.0
     588.0,     -16.0,      22.0
     589.0,     -16.0,      23.0
     590.0,     -16.0,      24.0
     591.0,     -16.0,      25.0
     592.0,     -16.0,      26.0
     593.0,     -16.0,      27.0
     594.0,     -16.0,      28.0
     595.0,     -16.0,      29.0
     596.0,     -16.0,      30.0
     597.0,     -16.0,      31.0
     598.0,     -16.0,      32.0
     599.0,     -16.0,      33.0
     600.0,     -15.0,       4.0
     601.0,     -15.0,       5.0
     602.0,     -15.0,       6.0
     603.0,     -15.0,       7.0
     604.0,     -15.0,       8.0
     605.0,     -15.0,       9.0
     606.0,     -15.0,      10.0
     607.0,     -15.0,      11.0
     608.0,     -15.0,      12.0
     609.0,     -15.0,      13.0
     610.0,     -15.0,      14.0
     611.0,     -15.0,      15.0
     612.0,     -15.0,      16.0
     613.0,     -15.0,      17.0
     614.0,     -15.0,      18.0
     615.0,     -15.0,      19.0
     616.0,     -15.0,      20.0
     617.0,     -15.0,      21.0
     618.0,     -15.0,      22.0
     619.0,     -15.0,      23.0
     620.0,     -15.0,      24.0
     621.0,     -15.0,      25.0
     622.0,     -15.0,      26.0
     623.0,     -15.0,      27.0
     624.0,     -15.0,      28.0
     625.0,     -15.0,      29.0
     626.0,     -15.0,      30.0
     627.0,     -15.0,      31.0
     628.0,     -15.0,      32.0
     629.0,     -15.0,      33.0
     630.0,     -14.0,       4.0
     631.0,     -14.0,       5.0
     632.0,     -14.0,       6.0
     633.0,     -14.0,       7.0
     634.0,     -14.0,       8.0
     635.0,     -14.0,       9.0
     636.0,     -14.0,      10.0
     637.0,     -14.0,      11.0
